BankModel..1 	 executes Departure..159 on 52 	 Entity..154 	 at time 588.4658204790397.
BankModel..1 	 records 7.488277962121515 wait for 53 	 Entity..157 	 at time 588.4658204790397.
BankModel..1 	 executes Departure..164 on 53 	 Entity..157 	 at time 589.4259119733697.
BankModel..1 	 records 5.320284079960061 wait for 54 	 Entity..160 	 at time 589.4259119733697.
BankModel..1 	 executes Arrival..163 on 55 	 Entity..162 	 at time 589.8283684826554.
BankModel..1 	 executes Arrival..167 on 56 	 Entity..166 	 at time 592.5320183031054.
BankModel..1 	 executes Arrival..169 on 57 	 Entity..168 	 at time 594.3558461077191.
BankModel..1 	 executes Departure..165 on 54 	 Entity..160 	 at time 601.7038119921433.
BankModel..1 	 records 11.875443509487923 wait for 55 	 Entity..162 	 at time 601.7038119921433.
BankModel..1 	 executes Arrival..171 on 58 	 Entity..170 	 at time 602.1622195224393.
BankModel..1 	 executes Arrival..174 on 59 	 Entity..173 	 at time 602.5646313611143.
BankModel..1 	 executes Departure..172 on 55 	 Entity..162 	 at time 603.6406804778085.
BankModel..1 	 records 11.108662174703113 wait for 56 	 Entity..166 	 at time 603.6406804778085.
BankModel..1 	 executes Arrival..176 on 60 	 Entity..175 	 at time 616.5636683437147.
BankModel..1 	 executes Arrival..179 on 61 	 Entity..178 	 at time 616.8618952062615.
BankModel..1 	 executes Departure..177 on 56 	 Entity..166 	 at time 619.5746432282391.
BankModel..1 	 records 25.21879712051998 wait for 57 	 Entity..168 	 at time 619.5746432282391.
BankModel..1 	 executes Arrival..181 on 62 	 Entity..180 	 at time 623.0009230909554.
BankModel..1 	 executes Departure..182 on 57 	 Entity..168 	 at time 626.3092301060464.
BankModel..1 	 records 24.147010583607084 wait for 58 	 Entity..170 	 at time 626.3092301060464.
BankModel..1 	 executes Departure..185 on 58 	 Entity..170 	 at time 626.4301112831943.
BankModel..1 	 records 23.86547992208 wait for 59 	 Entity..173 	 at time 626.4301112831943.
BankModel..1 	 executes Departure..186 on 59 	 Entity..173 	 at time 632.188127168355.
BankModel..1 	 records 15.624458824640328 wait for 60 	 Entity..175 	 at time 632.188127168355.
BankModel..1 	 executes Arrival..184 on 63 	 Entity..183 	 at time 633.7320906060021.
BankModel..1 	 executes Departure..187 on 60 	 Entity..175 	 at time 635.4435971679169.
BankModel..1 	 records 18.581701961655426 wait for 61 	 Entity..178 	 at time 635.4435971679169.
BankModel..1 	 executes Arrival..189 on 64 	 Entity..188 	 at time 636.5016116218305.
BankModel..1 	 executes Departure..190 on 61 	 Entity..178 	 at time 637.129393909513.
BankModel..1 	 records 14.128470818557616 wait for 62 	 Entity..180 	 at time 637.129393909513.
BankModel..1 	 executes Departure..193 on 62 	 Entity..180 	 at time 643.0459420708212.
BankModel..1 	 records 9.313851464819095 wait for 63 	 Entity..183 	 at time 643.0459420708212.
BankModel..1 	 executes Arrival..192 on 65 	 Entity..191 	 at time 654.6721036485555.
BankModel..1 	 executes Departure..194 on 63 	 Entity..183 	 at time 661.3666740893584.
BankModel..1 	 records 24.865062467527878 wait for 64 	 Entity..188 	 at time 661.3666740893584.
BankModel..1 	 executes Departure..197 on 64 	 Entity..188 	 at time 662.4077971120441.
BankModel..1 	 records 7.735693463488587 wait for 65 	 Entity..191 	 at time 662.4077971120441.
BankModel..1 	 executes Departure..198 on 65 	 Entity..191 	 at time 668.5170490594566.
BankModel..1 	 executes Arrival..196 on 66 	 Entity..195 	 at time 688.037812081528.
BankModel..1 	 executes Arrival..200 on 67 	 Entity..199 	 at time 697.880595828248.
BankModel..1 	 executes Arrival..203 on 68 	 Entity..202 	 at time 699.9865763416404.
BankModel..1 	 executes Departure..201 on 66 	 Entity..195 	 at time 701.7362584926078.
BankModel..1 	 records 3.8556626643597838 wait for 67 	 Entity..199 	 at time 701.7362584926078.
BankModel..1 	 executes Arrival..205 on 69 	 Entity..204 	 at time 708.1640922023203.
BankModel..1 	 executes Departure..206 on 67 	 Entity..199 	 at time 709.6477602608801.
BankModel..1 	 records 9.661183919239647 wait for 68 	 Entity..202 	 at time 709.6477602608801.
BankModel..1 	 executes Departure..209 on 68 	 Entity..202 	 at time 713.003251374423.
BankModel..1 	 records 4.839159172102768 wait for 69 	 Entity..204 	 at time 713.003251374423.
BankModel..1 	 executes Departure..210 on 69 	 Entity..204 	 at time 722.28790069396.
BankModel..1 	 executes Arrival..208 on 70 	 Entity..207 	 at time 743.7104652220485.
BankModel..1 	 executes Departure..213 on 70 	 Entity..207 	 at time 745.019270355506.
BankModel..1 	 executes Arrival..212 on 71 	 Entity..211 	 at time 773.1166307848719.
BankModel..1 	 executes Departure..216 on 71 	 Entity..211 	 at time 776.2791911385419.
BankModel..1 	 executes Arrival..215 on 72 	 Entity..214 	 at time 782.2374110209641.
BankModel..1 	 executes Arrival..218 on 73 	 Entity..217 	 at time 791.0778838164158.
BankModel..1 	 executes Departure..219 on 72 	 Entity..214 	 at time 792.4523722928054.
BankModel..1 	 records 1.3744884763896152 wait for 73 	 Entity..217 	 at time 792.4523722928054.
BankModel..1 	 executes Arrival..221 on 74 	 Entity..220 	 at time 795.9432153460508.
BankModel..1 	 executes Departure..222 on 73 	 Entity..217 	 at time 799.6540934235406.
BankModel..1 	 records 3.710878077489838 wait for 74 	 Entity..220 	 at time 799.6540934235406.
BankModel..1 	 executes Arrival..224 on 75 	 Entity..223 	 at time 801.4809734499624.
BankModel..1 	 executes Arrival..227 on 76 	 Entity..226 	 at time 804.8646941460443.
BankModel..1 	 executes Departure..225 on 74 	 Entity..220 	 at time 806.130866566.
BankModel..1 	 records 4.6498931160375605 wait for 75 	 Entity..223 	 at time 806.130866566.
BankModel..1 	 executes Departure..230 on 75 	 Entity..223 	 at time 812.2393640162497.
BankModel..1 	 records 7.37466987020548 wait for 76 	 Entity..226 	 at time 812.2393640162497.
BankModel..1 	 executes Arrival..229 on 77 	 Entity..228 	 at time 815.0014184960959.
BankModel..1 	 executes Arrival..233 on 78 	 Entity..232 	 at time 819.3653495550093.
BankModel..1 	 executes Arrival..235 on 79 	 Entity..234 	 at time 820.9985826237166.
BankModel..1 	 executes Arrival..237 on 80 	 Entity..236 	 at time 823.137498050774.
BankModel..1 	 executes Arrival..239 on 81 	 Entity..238 	 at time 823.2887400956847.
BankModel..1 	 executes Arrival..241 on 82 	 Entity..240 	 at time 823.9365793774056.
BankModel..1 	 executes Departure..231 on 76 	 Entity..226 	 at time 829.9373268820077.
BankModel..1 	 records 14.93590838591183 wait for 77 	 Entity..228 	 at time 829.9373268820077.
BankModel..1 	 executes Departure..244 on 77 	 Entity..228 	 at time 831.6094149769401.
BankModel..1 	 records 12.244065421930827 wait for 78 	 Entity..232 	 at time 831.6094149769401.
BankModel..1 	 executes Arrival..243 on 83 	 Entity..242 	 at time 832.5282441737378.
BankModel..1 	 executes Arrival..247 on 84 	 Entity..246 	 at time 832.6941240507161.
BankModel..1 	 executes Departure..245 on 78 	 Entity..232 	 at time 845.9595374679316.
BankModel..1 	 records 24.96095484421494 wait for 79 	 Entity..234 	 at time 845.9595374679316.
BankModel..1 	 executes Departure..250 on 79 	 Entity..234 	 at time 847.4848835017971.
BankModel..1 	 records 24.347385451023115 wait for 80 	 Entity..236 	 at time 847.4848835017971.
BankModel..1 	 executes Arrival..249 on 85 	 Entity..248 	 at time 853.2255785404224.
BankModel..1 	 executes Departure..251 on 80 	 Entity..236 	 at time 854.5804542118068.
BankModel..1 	 records 31.29171411612208 wait for 81 	 Entity..238 	 at time 854.5804542118068.
BankModel..1 	 executes Departure..254 on 81 	 Entity..238 	 at time 855.1734888670619.
BankModel..1 	 records 31.23690948965634 wait for 82 	 Entity..240 	 at time 855.1734888670619.
BankModel..1 	 executes Arrival..253 on 86 	 Entity..252 	 at time 863.8661950570945.
BankModel..1 	 executes Arrival..257 on 87 	 Entity..256 	 at time 864.7765258260745.
BankModel..1 	 executes Departure..255 on 82 	 Entity..240 	 at time 869.3735156260235.
BankModel..1 	 records 36.845271452285715 wait for 83 	 Entity..242 	 at time 869.3735156260235.
BankModel..1 	 executes Arrival..259 on 88 	 Entity..258 	 at time 870.779449016409.
BankModel..1 	 executes Departure..260 on 83 	 Entity..242 	 at time 882.3934644266088.
BankModel..1 	 records 49.69934037589269 wait for 84 	 Entity..246 	 at time 882.3934644266088.
BankModel..1 	 executes Departure..263 on 84 	 Entity..246 	 at time 895.4168996009158.
BankModel..1 	 records 42.191321060493465 wait for 85 	 Entity..248 	 at time 895.4168996009158.
BankModel..1 	 executes Departure..264 on 85 	 Entity..248 	 at time 896.4305089484754.
BankModel..1 	 records 32.56431389138095 wait for 86 	 Entity..252 	 at time 896.4305089484754.
BankModel..1 	 executes Arrival..262 on 89 	 Entity..261 	 at time 901.6898817549474.
BankModel..1 	 executes Departure..265 on 86 	 Entity..252 	 at time 902.0777806610545.
